"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"수원시",427790,439996,454072,463154,472194,483558,492939,498836,506950,517822
"장안구",109983,113369,114386,115182,115507,116486,116250,115180,115738,118432
"권선구",126934,127545,131321,136299,140772,145514,152432,152733,154921,157041
"팔달구",87214,87289,87728,87266,88317,87895,84558,84282,86362,91278
"영통구",103659,111793,120637,124407,127598,133663,139699,146641,149929,151071
"성남시",384316,387053,388340,390968,394087,396403,398412,400460,407912,409320
"수정구",102949,101505,100362,99425,104855,107823,108396,110333,115709,114620
"중원구",103869,105339,104931,105314,101345,99438,99495,99940,101151,100328
"분당구",177498,180209,183047,186229,187887,189142,190521,190187,191052,194372
"의정부시",166349,167990,169671,172392,175948,179505,185319,190760,201630,205792
"안양시",224395,224441,223249,223779,225163,223172,222361,222589,220552,224620
"만안구",98459,97830,97200,97701,100104,101859,102157,100974,101305,103012
"동안구",125936,126611,126049,126078,125059,121313,120204,121615,119247,121608
"부천시",328511,328230,327462,327617,331797,335384,338759,340160,344495,347024
"원미구",167966,168075,168613,169862,-,-,-,-,-,-
"소사구",87771,87818,87108,86289,-,-,-,-,-,-
"오정구",72774,72337,71741,71466,-,-,-,-,-,-
"광명시",131172,130401,129039,128208,127461,127168,128126,126001,120560,119817
"평택시",172891,177174,181801,189122,195970,204252,214409,226020,243838,262097
"송탄출장소",-,-,-,-,-,-,-,-,0,-
"안중출장소",-,-,-,-,-,-,-,-,0,-
"동두천시",40886,41327,41603,42094,42455,42420,42919,42999,43874,44369
"안산시",282006,283650,283527,281865,280524,278240,276662,277331,286061,292113
"상록구",150088,151579,152242,152730,152682,152176,149499,147231,153103,156527
"단원구",131918,132071,131285,129135,127842,126064,127163,130100,132958,135586
"고양시",365492,374396,382046,393093,401772,408816,417607,434028,448574,456852
"덕양구",154549,159948,166253,174272,178039,181875,185883,195766,203939,210486
"일산동구",108231,109634,110182,111620,115258,117436,120658,122981,126569,128436
"일산서구",102712,104814,105611,107201,108475,109505,111066,115281,118066,117930
"과천시",25413,25233,25251,25030,23454,20903,21205,21467,23373,27262
"구리시",73415,72581,71639,71602,74499,77306,79735,79870,81520,80616
"남양주시",223097,230273,238111,246353,251335,255594,264488,276656,285334,299156
"풍양출장소",-,-,-,-,-,-,-,-,0,-
"오산시",77951,79951,81146,81033,82581,85445,89860,95209,99436,102161
"시흥시",157203,156764,156293,157755,159978,167802,181061,194750,211150,220421
"군포시",104809,104735,106280,106771,106646,106645,107548,110005,112476,113205
"의왕시",56482,58475,58413,58505,58808,59201,58946,62387,64690,65734
"하남시",57641,57532,59551,66797,84289,93741,105832,115792,128774,138764
"용인시",331035,340748,348064,354267,363559,371685,390137,406880,420519,429492
"처인구",81936,83494,86211,87905,91450,94596,103300,107544,111684,115048
"기흥구",135770,141613,144565,147312,150943,152765,158468,164904,169979,173844
"수지구",113329,115641,117288,119050,121166,124324,128369,134432,138856,140600
"파주시",160813,163648,166901,171753,175089,180250,188407,191668,200270,211916
"이천시",79312,79956,80433,81228,84339,87116,89596,92643,96799,101417
"안성시",73041,73938,74259,74265,76291,77456,79805,81599,85839,89118
"김포시",110104,119228,129379,133231,139498,152052,166635,174613,193234,200846
"화성시",196078,198368,204362,226316,245921,269782,301025,327797,351924,372888
"화성시동부출장소",-,-,-,-,-,-,-,-,0,-
"화성시동탄출장소",-,-,-,-,-,-,-,-,0,-
"광주시",107406,112358,117808,124114,131303,140112,150055,156884,164320,167673
"양주시",77539,77283,78499,80109,80790,85089,89088,93026,97998,102314
"포천시",66627,66830,67275,67913,68354,68779,69429,69976,71315,73584
"여주시",-,45431,46302,47117,47889,48892,49542,50334,51748,52731
"여주군",45104,-,-,-,-,-,-,-,-,-
"연천군",20293,20528,20722,21381,21656,21585,21526,21630,22028,22002
"가평군",26989,27417,27966,28551,29212,29840,30359,30768,31533,31775
"양평군",45505,46389,47254,48629,50544,53186,54422,55782,57675,59094
