"행정구역별",2021.1/2,2021.2/2,2022.1/2
"행정구역별",경제활동인구 (천명),경제활동인구 (천명),경제활동인구 (천명)
"진도군",18.5,18.4,18.9
"신안군",22.8,22.9,23.0
"포항시",259.4,258.4,266.2
"경주시",142.5,144.2,143.3
"김천시",78.5,80.4,82.4
"안동시",87.6,87.6,85.4
"구미시",222.6,219.7,230.3
"영주시",54.3,54.8,55.0
"영천시",60.5,61.4,60.4
"상주시",56.7,57.0,56.9
"문경시",38.6,37.3,38.1
"경산시",152.5,153.6,154.8
"군위군",14.7,14.0,14.8
"의성군",32.0,32.4,32.6
"청송군",16.8,17.1,17.3
"영양군",10.4,10.3,10.5
"영덕군",19.6,19.7,19.4
"청도군",26.3,26.6,26.9
"고령군",19.1,18.8,19.1
"성주군",25.3,25.1,25.2
"칠곡군",61.4,64.1,63.6
"예천군",32.3,33.0,33.5
"봉화군",19.6,19.5,19.5
"울진군",26.4,25.9,25.6
"울릉군",5.6,5.7,5.9
"진주시",182.9,184.8,185.0
"통영시",63.0,63.5,64.1
"사천시",61.1,60.9,62.0
"김해시",289.6,286.1,293.1
"밀양시",56.0,57.1,58.0
"거제시",121.3,125.6,122.6
"양산시",177.1,178.4,182.5
"창원시",541.8,538.7,538.5
"의령군",16.2,16.1,16.1
"함안군",35.7,36.5,35.8
"창녕군",36.3,36.6,36.7
"고성군",30.4,30.6,29.7
"남해군",25.6,25.9,25.8
"하동군",25.8,25.2,25.6
"산청군",22.2,22.5,22.5
"함양군",23.0,22.8,23.1
"거창군",35.7,36.0,35.0
"합천군",24.9,24.7,24.6
"제주시",280.6,280.6,281.1
"서귀포시",109.4,111.2,111.2
