"인천","숙박 및 음식점업(55~56)",41888,101750,7613092
"인천","정보통신업(58~63)",3749,14027,2455014
"인천","금융 및 보험업(64~66)",2491,24618,19106939
"인천","부동산업(68)",14124,31465,11198833
"인천","전문, 과학 및 기술 서비스업(70~73)",8347,41922,6635442
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",7937,57530,3859127
"인천","공공행정, 국방 및 사회보장 행정(84)",490,40912,7678065
"인천","교육 서비스업(85)",10933,77194,5223861
"인천","보건업 및 사회복지 서비스업(86~87)",8011,125916,7894205
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)",7943,19659,1859087
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",24273,44872,2943488
"광주","전체 산업",170085,667435,155061679
"광주","농업, 임업 및 어업(01~03)",112,512,158535
"광주","광업(05~08)",12,38,10129
"광주","제조업(10~34)",11535,88160,43784000
"광주","전기, 가스, 증기 및 공기조절 공급업(35)",1685,3027,2793100
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",240,2535,717116
"광주","건설업(41~42)",15341,81661,20823485
"광주","도매 및 소매업(45~47)",44759,96162,32052127
"광주","운수 및 창고업(49~52)",17428,34924,3713932
"광주","숙박 및 음식점업(55~56)",22795,54897,3785768
"광주","정보통신업(58~63)",1684,10702,3294599
"광주","금융 및 보험업(64~66)",2005,21968,14328660
"광주","부동산업(68)",9243,24020,8619335
"광주","전문, 과학 및 기술 서비스업(70~73)",5559,23673,2662263
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4127,30783,2281577
"광주","공공행정, 국방 및 사회보장 행정(84)",271,19744,4239668
"광주","교육 서비스업(85)",7718,51744,3619654
"광주","보건업 및 사회복지 서비스업(86~87)",5220,81697,5472714
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)",4581,12678,856289
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15770,28510,1848728
"대전","전체 산업",164406,691264,139651065
"대전","농업, 임업 및 어업(01~03)",91,504,93468
"대전","광업(05~08)",10,19,7787
"대전","제조업(10~34)",11049,67835,22977354
"대전","전기, 가스, 증기 및 공기조절 공급업(35)",390,2064,4061122
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",227,4142,1457946
"대전","건설업(41~42)",13025,62947,12347511
"대전","도매 및 소매업(45~47)",45329,105502,31375003
"대전","운수 및 창고업(49~52)",16862,34809,3388310
"대전","숙박 및 음식점업(55~56)",23831,58359,3899598
"대전","정보통신업(58~63)",2791,18869,4002605
"대전","금융 및 보험업(64~66)",1732,19890,17242611
"대전","부동산업(68)",7110,18133,5246689
"대전","전문, 과학 및 기술 서비스업(70~73)",5765,55839,12837366
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4195,42851,3157106
"대전","공공행정, 국방 및 사회보장 행정(84)",278,28594,6207605
"대전","교육 서비스업(85)",6991,57803,3652627
"대전","보건업 및 사회복지 서비스업(86~87)",5078,73513,4853224
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)",4313,11167,791319
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15339,28424,2051814
"울산","전체 산업",117247,543424,239263923
"울산","농업, 임업 및 어업(01~03)",92,386,49362
"울산","광업(05~08)",18,277,138217
"울산","제조업(10~34)",10235,175733,171293858
"울산","전기, 가스, 증기 및 공기조절 공급업(35)",243,2603,4558920
"울산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",313,2503,681681
"울산","건설업(41~42)",9915,46699,7417486
"울산","도매 및 소매업(45~47)",27191,56392,17858056
"울산","운수 및 창고업(49~52)",12618,28813,4345078
"울산","숙박 및 음식점업(55~56)",21110,45764,3180223
"울산","정보통신업(58~63)",732,4328,870602
"울산","금융 및 보험업(64~66)",1161,12745,10125303
"울산","부동산업(68)",4778,9983,2141822
"울산","전문, 과학 및 기술 서비스업(70~73)",3267,19062,3809060
"울산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2977,19980,2008455
"울산","공공행정, 국방 및 사회보장 행정(84)",207,15414,3153216
"울산","교육 서비스업(85)",5585,35750,3094770
"울산","보건업 및 사회복지 서비스업(86~87)",3052,41598,3037835
"울산","예술, 스포츠 및 여가관련 서비스업(90~91)",3193,7089,489925
"울산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",10560,18305,1010054
"세종","전체 산업",28490,139731,32334651
"세종","농업, 임업 및 어업(01~03)",84,263,98310
"세종","광업(05~08)",11,115,40748
"세종","제조업(10~34)",1764,20429,9134412
"세종","전기, 가스, 증기 및 공기조절 공급업(35)",299,920,899925
"세종","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",96,712,199130
"세종","건설업(41~42)",2130,9660,1667100
"세종","도매 및 소매업(45~47)",5989,12528,4246709
"세종","운수 및 창고업(49~52)",1967,4845,820851
"세종","숙박 및 음식점업(55~56)",4442,11346,812264
"세종","정보통신업(58~63)",609,2503,392843
"세종","금융 및 보험업(64~66)",240,2165,1818450
"세종","부동산업(68)",2630,5327,2247665
"세종","전문, 과학 및 기술 서비스업(70~73)",1108,8298,1162498
"세종","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",784,4953,393695
"세종","공공행정, 국방 및 사회보장 행정(84)",138,21609,5941713
"세종","교육 서비스업(85)",2322,15688,942167
"세종","보건업 및 사회복지 서비스업(86~87)",954,11601,707672
"세종","예술, 스포츠 및 여가관련 서비스업(90~91)",748,2456,535587
"세종","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2175,4313,272912
"경기","전체 산업",1455644,5886850,1484086549
"경기","농업, 임업 및 어업(01~03)",1700,7782,2586274
"경기","광업(05~08)",123,1502,670065
