"충청남도 당진시",11.7,7524,64504
"충청남도 금산군",13.3,3105,23266
"충청남도 부여군",12.2,3620,29661
"충청남도 서천군",17.5,4479,25647
"충청남도 청양군",11.5,1613,14062
"충청남도 홍성군",13.9,6042,43472
"충청남도 예산군",15.1,5492,36369
"충청남도 태안군",14.8,4279,28832
"전라북도 전주시",9.4,22532,240012
"전라북도 완산구",9.4,11706,124435
"전라북도 덕진구",9.4,10826,115577
"전라북도 군산시",16.3,19033,116663
"전라북도 익산시",12.0,14032,117355
"전라북도 정읍시",14.7,7072,48152
"전라북도 남원시",12.9,4524,34965
"전라북도 김제시",15.8,5944,37736
"전라북도 완주군",15.4,5991,38905
"전라북도 진안군",11.3,1235,10908
"전라북도 무주군",15.6,1745,11195
"전라북도 장수군",10.7,1021,9555
"전라북도 임실군",14.8,1896,12830
"전라북도 순창군",18.1,2375,13135
"전라북도 고창군",15.0,3790,25269
"전라북도 부안군",17.2,4222,24541
"전라남도 목포시",14.1,13345,94332
"전라남도 여수시",12.7,14464,113941
"전라남도 순천시",12.9,14663,113964
"전라남도 나주시",21.2,11549,54524
"전라남도 광양시",13.7,8274,60548
"전라남도 담양군",14.0,2585,18485
"전라남도 곡성군",15.8,2135,13488
"전라남도 구례군",15.5,1811,11687
"전라남도 고흥군",18.7,6370,34150
"전라남도 보성군",14.4,2808,19464
"전라남도 화순군",18.4,5257,28628
"전라남도 장흥군",13.9,2465,17679
"전라남도 강진군",18.8,3238,17241
"전라남도 해남군",14.3,4492,31350
"전라남도 영암군",21.8,5981,27410
"전라남도 무안군",19.4,6856,35403
"전라남도 함평군",16.0,2366,14777
"전라남도 영광군",15.3,3534,23083
"전라남도 장성군",16.7,3138,18761
"전라남도 완도군",14.5,3193,22096
"전라남도 진도군",13.3,1904,14327
"전라남도 신안군",10.0,1675,16705
"경상북도 포항시",11.6,23356,201611
"경상북도 남구",12.0,10744,89851
"경상북도 북구",11.3,12612,111760
"경상북도 경주시",14.5,15928,109481
"경상북도 김천시",14.8,8921,60378
"경상북도 안동시",14.8,10371,69997
"경상북도 구미시",10.3,15604,152076
"경상북도 영주시",9.3,3927,42345
"경상북도 영천시",14.0,6306,45092
"경상북도 상주시",13.4,5866,43713
"경상북도 문경시",12.1,3675,30337
"경상북도 경산시",9.1,8837,96711
"경상북도 군위군",11.9,1315,11043
"경상북도 의성군",14.7,3832,26136
"경상북도 청송군",14.9,1857,12493
"경상북도 영양군",13.8,1131,8197
"경상북도 영덕군",15.8,2885,18220
"경상북도 청도군",20.4,4435,21748
"경상북도 고령군",13.2,1826,13785
"경상북도 성주군",9.4,1595,17038
"경상북도 칠곡군",14.4,6317,44000
"경상북도 예천군",18.4,5072,27501
"경상북도 봉화군",13.6,2084,15270
"경상북도 울진군",18.5,4449,24069
"경상북도 울릉군",5.9,181,3065
"경상남도 진주시",10.1,13162,130282
"경상남도 통영시",13.4,7034,52552
"경상남도 사천시",16.1,7933,49245
"경상남도 김해시",8.6,16623,193783
"경상남도 밀양시",15.0,7382,49162
