"경상북도 청송군",14.9
"경상북도 영양군",13.8
"경상북도 영덕군",15.8
"경상북도 청도군",20.4
"경상북도 고령군",13.2
"경상북도 성주군",9.4
"경상북도 칠곡군",14.4
"경상북도 예천군",18.4
"경상북도 봉화군",13.6
"경상북도 울진군",18.5
"경상북도 울릉군",5.9
"경상남도 진주시",10.1
"경상남도 통영시",13.4
"경상남도 사천시",16.1
"경상남도 김해시",8.6
"경상남도 밀양시",15.0
"경상남도 거제시",16.6
"경상남도 양산시",8.8
"경상남도 창원시",9.3
"경상남도 의창구",6.0
"경상남도 성산구",7.5
"경상남도 마산합포구",14.3
"경상남도 마산회원구",6.2
"경상남도 진해구",12.9
"경상남도 의령군",17.5
"경상남도 함안군",12.3
"경상남도 창녕군",14.5
"경상남도 고성군",17.1
"경상남도 남해군",21.5
"경상남도 하동군",13.5
"경상남도 산청군",17.3
"경상남도 함양군",17.0
"경상남도 거창군",14.8
"경상남도 합천군",20.5
