sigungu,hospital_total,hs_1,hs_2,hs_3,hs_h,sido,pop,hp_bin_t,hp_bin_1,hp_bin_2,hp_bin_3,hp_bin_h,sig_cd
전라남도 강진군,4.352746583093933,2.1763732915469665,0.0,0.0,2.1763732915469665,전라남도,45948.0,0~14,0~4,0~5,0~0.5,0~9,46810
전라남도 고흥군,18.10347948875774,10.862087693254644,3.6206958977515478,0.0,3.6206958977515478,전라남도,27619.0,14.1~28,9.2~13,0~5,0~0.5,0~9,46770
전라남도 곡성군,7.883637510347274,3.941818755173637,0.0,0.0,3.941818755173637,전라남도,25369.0,0~14,0~4,0~5,0~0.5,0~9,46720
전라남도 구례군,6.34618435665556,1.58654608916389,0.0,0.0,4.75963826749167,전라남도,63030.0,0~14,0~4,0~5,0~0.5,0~9,46730
전라남도 담양군,17.646688094787926,2.5209554421125606,0.0,0.0,15.125732652675365,전라남도,39667.5,14.1~28,0~4,0~5,0~0.5,9.1~18,46710
전라남도 보성군,9.641574469110806,3.213858156370269,0.0,0.0,6.427716312740538,전라남도,62230.5,0~14,0~4,0~5,0~0.5,0~9,46780
전라남도 신안군,10.828516899254186,5.414258449627093,0.0,0.0,5.414258449627093,전라남도,36939.5,0~14,4.6~9,0~5,0~0.5,0~9,46910
전라남도 영광군,8.83210174581211,0.0,5.888067830541408,0.0,2.944033915270704,전라남도,33967.0,0~14,0~4,5.6~11,0~0.5,0~9,46870
전라남도 영암군,4.4380996057488185,2.9587330704992123,0.0,0.0,1.4793665352496062,전라남도,67596.5,0~14,0~4,0~5,0~0.5,0~9,46830
전라남도 완도군,1.889144972985227,1.889144972985227,0.0,0.0,0.0,전라남도,52934.0,0~14,0~4,0~5,0~0.5,0~9,46890
전라남도 장성군,12.72993444083763,6.364967220418815,0.0,0.0,6.364967220418815,전라남도,31422.0,0~14,4.6~9,0~5,0~0.5,0~9,46880
전라남도 장흥군,7.6651112878345105,3.8325556439172552,1.9162778219586276,0.0,1.9162778219586276,전라남도,52184.5,0~14,0~4,0~5,0~0.5,0~9,46800
전라남도 진도군,6.874978515692138,4.583319010461425,0.0,0.0,2.2916595052307125,전라남도,43636.5,0~14,0~4,0~5,0~0.5,0~9,46900
전라남도 함평군,6.116083260280116,4.077388840186744,0.0,0.0,2.038694420093372,전라남도,49051.0,0~14,0~4,0~5,0~0.5,0~9,46860
전라남도 해남군,16.405814220559765,6.562325688223907,6.562325688223907,0.0,3.2811628441119534,전라남도,30477.0,14.1~28,4.6~9,5.6~11,0~0.5,0~9,46820
전라남도 화순군,44.40903331983647,7.836888232912318,0.0,2.6122960776374393,33.959849009286714,전라남도,38280.5,42.3~56.6,4.6~9,0~5,1.9~2.6,27.4~36.6,46790
전라북도 고창군,6.558022100534478,0.9368603000763541,0.9368603000763541,0.0,4.68430150038177,전라북도,106739.5,0~14,0~4,0~5,0~0.5,0~9,45790
전라북도 김제시,15.644249760447424,7.822124880223712,0.0,0.0,7.822124880223712,전라북도,51137.0,14.1~28,4.6~9,0~5,0~0.5,0~9,45210
전라북도 남원시,22.051932300567838,3.67532205009464,3.67532205009464,0.0,14.70128820037856,전라북도,27208.5,14.1~28,0~4,0~5,0~0.5,9.1~18,45190
전라북도 무주군,0.0,0.0,0.0,0.0,0.0,전라북도,79729.0,0~14,0~4,0~5,0~0.5,0~9,45730
전라북도 부안군,8.624088310664302,4.928050463236744,1.232012615809186,0.0,2.464025231618372,전라북도,81168.0,0~14,4.6~9,0~5,0~0.5,0~9,45800
전라북도 순창군,11.971746677840297,3.990582225946766,0.0,0.0,7.981164451893532,전라북도,25059.0,0~14,0~4,0~5,0~0.5,0~9,45770
전라북도 임실군,8.39965561411982,4.19982780705991,0.0,0.0,4.19982780705991,전라북도,23810.5,0~14,0~4,0~5,0~0.5,0~9,45750
전라북도 장수군,0.0,0.0,0.0,0.0,0.0,전라북도,21823.0,0~14,0~4,0~5,0~0.5,0~9,45740
전라북도 정읍시,16.77617782748497,5.592059275828324,1.8640197586094411,0.0,9.320098793047206,전라북도,53647.5,14.1~28,4.6~9,0~5,0~0.5,9.1~18,45180
