"행정구역별(1)",행정구역별(2),2016,2017,2018,2019,2020
"행정구역별(1)",행정구역별(2),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후),재정자립도(세입과목개편후)
"경상북도",성주군,10.1,10.4,10.7,9.7,12.2
"경상북도",칠곡군,21.9,23.9,24.5,24.0,23.0
"경상북도",예천군,7.5,8.0,8.8,9.2,10.2
"경상북도",봉화군,6.0,6.0,5.7,5.1,6.2
"경상북도",울진군,10.2,11.4,11.9,9.8,10.7
"경상북도",울릉군,10.5,10.6,10.5,10.0,8.4
"경상남도",소계,36.6,38.7,37.7,33.4,34.3
"경상남도",진주시,21.6,23.4,23.3,21.1,21.0
"경상남도",통영시,16.5,16.7,16.1,13.9,12.6
"경상남도",사천시,15.7,15.5,15.4,15.0,16.5
"경상남도",김해시,35.2,35.2,36.3,34.4,31.7
"경상남도",밀양시,14.9,15.7,15.3,14.4,13.7
"경상남도",거제시,34.3,32.4,27.9,27.0,19.6
"경상남도",양산시,32.0,36.9,35.9,33.6,29.9
"경상남도",창원시,39.7,41.0,39.8,36.7,34.8
"경상남도",의령군,9.6,7.8,7.6,7.5,7.7
"경상남도",함안군,18.7,19.5,18.2,16.0,16.8
"경상남도",창녕군,10.7,11.1,11.0,10.5,12.5
"경상남도",고성군,9.7,10.0,10.7,11.3,11.3
"경상남도",남해군,8.0,7.5,7.5,6.1,8.8
"경상남도",하동군,7.9,7.7,7.7,7.1,8.0
"경상남도",산청군,9.6,8.8,8.7,7.4,8.9
"경상남도",함양군,7.2,6.6,5.8,5.5,10.0
"경상남도",거창군,7.6,7.7,7.7,8.1,8.9
"경상남도",합천군,7.7,7.5,7.6,7.1,8.8
