행정구역별(시군구),청년_남녀_2020,장년_남녀_2020,노년_남녀_2020
전라북도 군산시,8396,17412,10940
전라북도 김제시,877,4386,6382
전라북도 남원시,1130,4687,5567
전라북도 덕진구,14726,17942,8675
전라북도 무주군,291,1429,2024
전라북도 부안군,549,2885,4368
전라북도 순창군,199,1359,2374
전라북도 완산구,13641,21064,11544
전라북도 완주군,3755,5213,3986
전라북도 익산시,11629,16460,12171
전라북도 임실군,630,1556,2455
전라북도 장수군,213,1180,1832
전라북도 정읍시,1608,6411,7489
전라북도 진안군,209,1431,2089
충청남도 계룡시,582,1689,934
충청남도 공주시,4464,6243,5647
충청남도 금산군,1457,3187,3680
충청남도 논산시,3214,7067,6961
충청남도 당진시,5172,12178,6055
충청남도 동남구,14389,17435,7334
충청남도 보령시,1880,6094,5710
충청남도 부여군,909,3363,5233
충청남도 서북구,24331,25176,6619
충청남도 서산시,5769,10570,6342
충청남도 서천군,504,2713,4619
충청남도 아산시,13025,20521,8521
충청남도 예산군,1423,4419,5131
충청남도 청양군,447,1744,2496
충청남도 태안군,1614,4244,4073
충청남도 홍성군,3543,5730,5116
충청북도 괴산군,1475,2829,2881
충청북도 단양군,349,2069,2224
충청북도 보은군,336,1951,2784
충청북도 상당구,3297,9547,6000
충청북도 서원구,11231,12122,6371
충청북도 영동군,1192,2768,3502
충청북도 옥천군,485,2444,3194
충청북도 음성군,3274,7721,4253
충청북도 제천시,5399,8831,6781
충청북도 증평군,1409,2637,1509
충청북도 진천군,2898,5907,2897
충청북도 청원구,10629,11959,4950
충청북도 충주시,9892,13532,9182
충청북도 흥덕구,15485,17930,5488
